id_rumah_gadang_gallery,id_rumah_gadang,url
1,R01,r1a.jpg
2,R01,r1b.jpg
3,R01,r1c.jpeg
4,R01,r1d.jpeg
5,R01,r1e.jpeg
6,R01,r1f.jpeg
7,R01,r1g.jpeg
8,R02,r2a.jpg
9,R02,r2b.jpg
10,R02,r2c.jpg
11,R02,r2d.jpeg
12,R02,r2e.jpeg
13,R02,r2f.jpeg
14,R03,r3a.jpg
15,R03,r3b.jpg
16,R03,r3c.jpg
17,R03,r3d.jpeg
18,R03,r3e.jpeg
19,R03,r3f.jpeg
20,R04,r4a.jpeg
21,R04,r4b.jpeg
22,R04,r4c.jpeg
23,R04,r4d.jpeg
24,R05,r5a.jpeg
25,R05,r5b.jpeg
26,R05,r5c.jpeg
27,R06,r6a.jpeg
28,R06,r6b.jpeg
29,R06,r6c.jpeg
30,R06,r6d.jpeg
31,R07,r7a.jpeg
32,R07,r7b.jpeg
33,R07,r7c.jpeg
34,R08,r8a.jpeg
35,R08,r8b.jpeg
36,R08,r8c.jpeg
37,R09,r9a.jpeg
38,R09,r9b.jpeg
39,R09,r9c.jpeg
40,R09,r9d.jpeg
41,R10,r10a.jpeg
42,R10,r10b.jpeg